COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CONV_COLL;Convention collective redressée par la Dares;0349;Convention collective nationale de travail des guides interprètes de la région parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0350;Convention collective nationale des industries de la mode et de la chapellerie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0351;Convention collective départementale des ouvriers du bâtiment et des travaux publics de la vendée;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0352;Commerce territoire belfort montb non aliment.;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0354;Ganterie de peau;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0356;Notariat nord pas de calais;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0357;Convention collective départementale du bâtiment de l'équipement électrique et des travaux publics de la haute-garonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0361;Convention collective des ouvriers du bâtiment du département de l'indre;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0362;Convention collective départementale des ouvriers du bâtiment et des travaux publics du tarn-et-garonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0363;Convention collective nationale du personnel ingénieurs et cadres de l'industrie de la fabrication des ciments;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0365;Convention collective des ouvriers du bâtiment du gers;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0367;Commerce nord lille;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0372;Convention collective départementale des ouvriers du bâtiment et des travaux publics de l'ariège;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0379;Convention collective du travail des commerces de la martinique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0379;Convention collective départementale du travail des commerces de la martinique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0390;Convention collective de travail des professeurs de l'enseignement secondaire libre enseignant dans les établissements hors contrat et dans les établissements sous contrat mais sans être contractuels(enseignement privé hors et sous contrat);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0392;Industries textiles du nord roubaix tourcoing;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0394;Convention collective des employés de la presse quotidienne parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0394;Convention collective régionale des employés de la presse quotidienne parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0398;Convention collective nationale des ouvriers du négoce des matériaux de construction;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0405;Convention collective nationale des établissements médico-sociaux de l'union intersyndicale des secteurs sanitaires et sociaux (unisss, ffescpe, convention de 1965, enfants, adolescents );CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0406;Commerce calvados mayen detail non alimentaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0409;Convention collective du bâtiment et des travaux publics de la région du limousin;CHAR;4
